site,plot,grid,date,evacuation_date,collection_date,Total_Volume_mL,Pooled_vol_mL_from_C3,Pooled_vol_mL_from_C6,Pooled_vol_mL_from_H3,Pooled_vol_mL_from_H6,Pooled_vol_mL_from_B4,Pooled_vol_mL_from_D5,Pooled_vol_mL_from_E3,Pooled_vol_mL_from_I5,Pooled_vol_mL_from_F4,Pooled_vol_mL_from_F6,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
TMP,Control,POOL,2022-06-20,2022-06-18,2022-06-20,0,0,0,0,0,0,0,0,0,0,0,15.94,0.66,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-06-23,2022-06-22,2022-06-23,138,25,0,0,25,9,25,19,25,4,6,13.54,0.35,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-06-23,2022-06-22,2022-06-23,121.5,25,0.5,0.5,0.5,25,7,12,25,1,25,9.17,0.84,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-06-24,2022-06-23,2022-06-24,241,25,16,25,25,25,25,25,25,25,25,11.12,0.46,pooled sample,pooled sample
TMP,Control,POOL,2022-06-24,2022-06-23,2022-06-24,106.5,0,0,12.5,25,0,25,1.5,25,0,17.5,20.64,0.85,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-06-24,2022-06-23,2022-06-24,250,25,25,25,25,25,25,25,25,25,25,9.76,0.74,pooled sample,pooled sample
TMP,Control,POOL,2022-08-08,2022-08-05,2022-08-08,220,25,25,25,25,25,18,7,25,20,25,15.2,0.67,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-08-08,2022-08-05,2022-08-08,200,25,0,0,25,25,25,25,25,25,25,29.48,1,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-08-08,2022-08-05,2022-08-08,223,25,25,25,25,25,25,20,25,25,3,11.74,0.68,pooled sample,pooled sample
TMP,Control,POOL,2022-09-12,2022-09-09,2022-09-12,17,0,3,0,11,0,0,3,0,0,0,18.37,1.16,pooled sample,pooled sample
TMP,Control,POOL,2022-09-12,2022-09-12,2022-09-15,34.5,0,0,12,0,0,1.5,0,21,0,0,18.37,1.16,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-09-12,2022-09-09,2022-09-12,21,0,4,0,15,0,2,0,0,0,0,17.39,1.07,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-09-12,2022-09-12,2022-09-15,106,21,12,1,0,7,25,0,25,0,15,17.39,1.07,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-09-12,2022-09-09,2022-09-12,25,0,0,0,0,25,0,0,0,0,0,54.12,2.84,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-09-12,2022-09-12,2022-09-15,113,23,22,25,22,0,0,21,0,0,0,54.12,2.84,pooled sample,pooled sample
TMP,Control,POOL,2022-10-19,2022-10-17,2022-10-19,59,0,3,7,13,0,14,0,0,0,0,15.84,0.51,pooled sample,pooled sample
TMP,Control,POOL,2022-10-19,2022-10-21,2022-10-24,59,0,0,0,0,0,0,22,0,0,0,15.84,0.51,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-10-19,2022-10-17,2022-10-19,91,2,2,20,22,6,10,0,20,4,2,14.93,0.94,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-10-19,2022-10-21,2022-10-24,91,0,0,0,0,0,0,3,0,0,0,14.93,0.94,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-10-19,2022-10-17,2022-10-19,97,11,16,4,3,17,25,4,0,3,14,41.95,1.44,pooled sample,pooled sample
TMP,Control,POOL,2022-11-28,2022-11-25,2022-11-28,34,0,0,0,6,0,0,3,25,0,0,14.49,0.53,pooled sample,pooled sample
TMP,Control,POOL,2022-11-28,2022-11-25,2022-12-01,90,0,0,25,19,13,18,0,0,0,15,14.49,0.53,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-11-28,2022-11-25,2022-11-28,60,3,0,0,19,0,24,0,14,0,0,14.01,0.48,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-11-28,2022-11-25,2022-12-01,41,0,0,25,0,10,0,0,0,4,2,14.01,0.48,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-11-28,2022-11-25,2022-11-28,54,25,0,0,0,25,0,0,0,0,4,43.13,1.25,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-11-28,2022-11-25,2022-12-01,49,0,0,25,10,0,12,2,0,0,0,43.13,1.25,pooled sample,pooled sample
TMP,Estuarine-water,POOL,2022-06-22,2022-06-22,2022-06-22,113,8,0.5,1,6,26,8,33,25,0.5,5,13.51,1.42,pooled sample,pooled sample
TMP,Freshwater,POOL,2022-06-22,2022-06-22,2022-06-22,118.5,25,6,0,0,3.5,25,10,25,2,22,7.58,0.36,pooled sample,pooled sample
