site,plot,grid,datetime,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
TMP,Freshwater,SOURCE,2022-06-22T10:54:00Z,0.83,0.09,NA,blank is ≥ 25% of sample value
TMP,Freshwater,SOURCE,2022-06-22T16:00:00Z,0.75,0.07,NA,blank is ≥ 25% of sample value
TMP,Freshwater,SOURCE,2022-06-22T18:48:00Z,0.59,0.06,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value
TMP,Freshwater,SOURCE,2022-06-22T14:00:00Z,8.73,0.12,NA,blank is ≥ 25% of sample value
TMP,ESTUARY,ESTUARY,2022-06-22T15:00:00Z,27.27,0.88,NA,NA
TMP,Saltwater,SOURCE,2022-06-22T10:45:00Z,20.35,0.5,NA,NA
TMP,Freshwater,SOURCE,2022-06-22T12:00:00Z,9.12,0.15,NA,blank is ≥ 25% of sample value
TMP,Saltwater,SOURCE,2022-06-22T12:00:00Z,20.05,0.38,NA,NA
TMP,Saltwater,SOURCE,2022-06-22T13:30:00Z,20.55,0.4,NA,NA
TMP,Saltwater,SOURCE,2022-06-22T15:00:00Z,5.13,0.34,NA,NA
TMP,ESTUARY,ESTUARY,2022-06-22T19:00:00Z,5.23,0.43,NA,NA
TMP,Freshwater,SOURCE,2022-06-22T13:30:00Z,1.96,0.25,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value
TMP,Saltwater,SOURCE,2022-06-22T14:00:00Z,5.6,0.44,NA,blank is ≥ 25% of sample value
TMP,Freshwater,SOURCE,2022-06-22T15:00:00Z,NA,NA,replicates greater than 25% different,replicates greater than 25% different
TMP,Saltwater,SOURCE,2022-06-22T16:00:00Z,5.615,0.405,average value of multiple aliquots,average value of multiple aliquots
TMP,Saltwater,SOURCE,2022-06-22T18:09:00Z,4.765000000000001,0.375,average value of multiple aliquots,average value of multiple aliquots
